 TIME                    	COP_theoretical_Cool     	COP_theoretical_Heat     	PL_Percent_Cool          	PL_Percent_Heat          	
  +5.4350000000000000E+03	  +7.9197444596451321E-03	  +6.2075726023540084E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4360000000000000E+03	  +7.9196673709649307E-03	  +6.2076572622438717E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4370000000000000E+03	  +8.0092777392334167E+00	  +6.2077419238328619E-03	  +3.9448436619532584E-01	  +0.0000000000000000E+00	
  +5.4380000000000000E+03	  +7.9195131890026742E-03	  +6.2078265870774219E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4390000000000000E+03	  +7.9194360957999393E-03	  +6.2079112519339971E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4400000000000000E+03	  +6.2228142616188293E+00	  +6.2079959183590303E-03	  +2.4604190983749147E-01	  +0.0000000000000000E+00	
  +5.4410000000000000E+03	  +7.9192819051495632E-03	  +6.2080805863089644E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4420000000000000E+03	  +8.7022883858120785E+00	  +6.2081652557402405E-03	  +5.2996170417688393E-01	  +0.0000000000000000E+00	
  +5.4430000000000000E+03	  +7.9191277091037286E-03	  +4.7511685181156160E+00	  +0.0000000000000000E+00	  +2.3632675604416251E-01	
  +5.4440000000000000E+03	  +7.9190506091566734E-03	  +6.2083345988725828E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4450000000000000E+03	  +7.9189735079797478E-03	  +6.2084192724865287E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4460000000000000E+03	  +7.9188964056126146E-03	  +6.2085039474075784E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4470000000000000E+03	  +7.9188193020949399E-03	  +6.2085886235921659E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4480000000000000E+03	  +7.9187421974663916E-03	  +6.2086733009967324E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4490000000000000E+03	  +7.9186650917666378E-03	  +6.2087579795777129E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4500000000000000E+03	  +7.9185879850353445E-03	  +6.2088426592915441E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4510000000000000E+03	  +7.9185108773121796E-03	  +6.2089273400946629E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4520000000000000E+03	  +7.9184337686368129E-03	  +6.2090120219435016E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4530000000000000E+03	  +7.9183566590489141E-03	  +6.2090967047944970E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4540000000000000E+03	  +7.9182795485881526E-03	  +6.2091813886040841E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4550000000000000E+03	  +7.9182024372941983E-03	  +4.7512286990036587E+00	  +0.0000000000000000E+00	  +2.3627293836397381E-01	
  +5.4560000000000000E+03	  +7.9181253252067242E-03	  +6.2093507589247605E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4570000000000000E+03	  +7.6248782482409494E+00	  +6.2094354453487172E-03	  +3.5247203591147697E-01	  +0.0000000000000000E+00	
  +5.4580000000000000E+03	  +7.9179710988098902E-03	  +6.2095201325569963E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4590000000000000E+03	  +7.9178939845798782E-03	  +6.2096048205060300E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4600000000000000E+03	  +7.9178168697150286E-03	  +6.2096895091522473E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4610000000000000E+03	  +7.7330040920038341E+00	  +6.2097741984520815E-03	  +3.6342288755435004E-01	  +0.0000000000000000E+00	
  +5.4620000000000000E+03	  +7.6275894656100336E+00	  +6.2098588883619625E-03	  +3.5277487259454265E-01	  +0.0000000000000000E+00	
  +5.4630000000000000E+03	  +7.4236671895938944E+00	  +6.2099435788383218E-03	  +3.3368602254066287E-01	  +0.0000000000000000E+00	
  +5.4640000000000000E+03	  +7.4479605323459390E+00	  +6.2100282698375883E-03	  +3.3587449359726118E-01	  +0.0000000000000000E+00	
  +5.4650000000000000E+03	  +6.9401422329983999E+00	  +6.2101129613161927E-03	  +2.9436337889132713E-01	  +0.0000000000000000E+00	
  +5.4660000000000000E+03	  +7.6143060941285823E+00	  +6.2101976532305640E-03	  +3.5150220583634539E-01	  +0.0000000000000000E+00	
  +5.4670000000000000E+03	  +7.5431945684975448E+00	  +6.2102823455371329E-03	  +3.4468340266571090E-01	  +0.0000000000000000E+00	
  +5.4680000000000000E+03	  +6.0632124832820464E+00	  +6.2103670381923274E-03	  +2.3657314886094427E-01	  +0.0000000000000000E+00	
  +5.4690000000000000E+03	  +8.5894274746171710E+00	  +6.2104517311525765E-03	  +4.9443954557665265E-01	  +0.0000000000000000E+00	
  +5.4700000000000000E+03	  +7.9182406409215877E+00	  +6.2105364243743100E-03	  +3.8385893726579512E-01	  +0.0000000000000000E+00	
  +5.4710000000000000E+03	  +7.9169685756490821E-03	  +6.2106211178139551E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4720000000000000E+03	  +7.9168914562607381E-03	  +6.2107058114279426E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4730000000000000E+03	  +7.9168143367533157E-03	  +6.2107905051726996E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4740000000000000E+03	  +7.9167372171664967E-03	  +6.2108751990046542E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4750000000000000E+03	  +7.9166600975399491E-03	  +6.2109598928802362E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4760000000000000E+03	  +7.9165829779133529E-03	  +6.2110445867558720E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4770000000000000E+03	  +7.9165058583263812E-03	  +6.2111292805879931E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4780000000000000E+03	  +7.9164287388187107E-03	  +6.2112139743330250E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4790000000000000E+03	  +7.9163516194300128E-03	  +6.2112986679473976E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4800000000000000E+03	  +7.9162745001999657E-03	  +4.7513539182114171E+00	  +0.0000000000000000E+00	  +2.3616088018321754E-01	
  +5.4810000000000000E+03	  +7.9161973811682409E-03	  +6.2114680546098786E-03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.4820000000000000E+03	  +8.6687702804747584E+00	  +6.2115527475708450E-03	  +5.1871126402672929E-01	  +0.0000000000000000E+00	
  +5.4830000000000000E+03	  +7.6552525608603954E+00	  +6.2116374402268661E-03	  +3.5567032917991609E-01	  +0.0000000000000000E+00	
  +5.4840000000000000E+03	  +7.8567858806145345E+00	  +6.2117221325343709E-03	  +3.7696340915025656E-01	  +0.0000000000000000E+00	
  +5.4850000000000000E+03	  +7.9744659664360862E+00	  +6.2118068244497891E-03	  +3.9067616484300910E-01	  +0.0000000000000000E+00	
