 TIME                    	Electric                 	Cooling                  	Heating                  	Dehumidification         	
 HOURS              	kWh                 	kWh                 	kWh                 	kWh                 	
  +8.0780000000000000E+03	  +4.1498518989129130E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0790000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0800000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0810000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0820000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0830000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0840000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0850000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0860000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0870000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0880000000000000E+03	  +4.1517061007184871E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0890000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0900000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0910000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0920000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0604925000000032E+04	  +1.0015300000000005E+04	
  +8.0930000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0634135000000031E+04	  +1.0015300000000005E+04	
  +8.0940000000000000E+03	  +4.1538079731035839E+04	  +1.8324247499999966E+05	  +4.0712840000000033E+04	  +1.0015300000000005E+04	
